StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,QID1718085942,QID64,QID66,QID69,QID65,QID67,QID68,QID14,QID20,QID22,QID34,QID35,QID36,QID28,QID38,QID39,QID73,QID74,QID75,QID41,QID42,QID43,QID44,QID45,QID47,QID46,QID52,QID51,QID50,QID49,QID53,QID55,QID54,QID56,QID58,QID 59,,,
2024-09-14 14:50:45,2024-09-14 14:56:17,100,331,TRUE,2024-09-14 14:56:17,38.9267,-76.9758,anonymous,EN,1,"I consent, begin the study",27,Male,11216,Several times per week,Multi-family home/duplex,1-2,I view them as equally important,Recreation space benefits are a little more important,Mental health benefits are a little more important,I view them as equally important,I view them as equally important,I view them as equally important,Increased foot traffic is a little more important,Community gathering spaces are much more important,Community gathering spaces are much more important,I view them as equally important,Ecological benefits are much more important,Personal benefits are much more important,Mildly agree,Strongly disagree,Strongly agree,Unsure,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Mildly agree,Strongly disagree,Strongly agree,,A,,,
2024-09-14 15:15:48,2024-09-14 15:47:22,100,1893,TRUE,2024-09-14 15:47:22,38.8597,-77.198,anonymous,EN,1,"I consent, begin the study",30,Male,20001,Several times per week,Multi-family home/duplex,3-4,I view them as equally important,I view them as equally important,I view them as equally important,I view them as equally important,I view them as equally important,I view them as equally important,Increased foot traffic is much more important,I view them as equally important,Community gathering spaces are much more important,Personal benefits are a little more important,I view them as equally important,I view them as equally important,Mildly agree,Mildly disagree,Strongly agree,Mildly agree,Strongly agree,Unsure,Strongly agree,Mildly disagree,Mildly agree,Strongly disagree,Mildly agree,Mildly disagree,Mildly agree,Unsure,Mildly agree,,A,,,
2024-09-14 17:00:27,2024-09-14 17:04:50,100,262,TRUE,2024-09-14 17:04:50,38.9091,-77.0203,anonymous,EN,0.899999976,"I consent, begin the study",32,Male,20005,Several times per year,Apartment complex,1-2,Mental health benefits are a little more important,Recreation space benefits are a little more important,Mental health benefits are much more important,Heat island reduction is much more important,Air and water filtration are a little more important,Heat island reduction is much more important,Increased foot traffic is much more important,Community gathering spaces are a little more important,Community gathering spaces are much more important,Personal benefits are much more important,Economic/social benefits are a little more important,Personal benefits are much more important,Mildly disagree,Mildly agree,Mildly agree,Mildly agree,Strongly agree,Mildly agree,Mildly agree,Mildly disagree,Mildly agree,Strongly disagree,Mildly disagree,Unsure,Unsure,Mildly agree,Strongly agree,,A,,,
2024-09-14 17:06:04,2024-09-14 17:12:34,58,389,FALSE,2024-09-21 17:12:34,,,anonymous,EN,0.800000012,"I consent, begin the study",,Other,20001,Several times per month,Multi-family home/duplex,1-2,I view them as equally important,Activity health benefits are a little more important,Activity health benefits are a little more important,I view them as equally important,Air and water filtration are a little more important,Increase in biodiversity is a little more important,Increased foot traffic is a little more important,Community gathering spaces are a little more important,Community gathering spaces are a little more important,Ecological benefits are a little more important,Economic/social benefits are a little more important,Economic/social benefits are a little more important,,,,,,,,,,,,,,,,,A,,,
2024-10-26 12:13:56,2024-10-26 12:20:26,100,390,TRUE,2024-10-26 12:20:27,38.6583,-77.2481,qr,EN,1,"I consent, begin the study",,Female,92407,Several times per week,Single family stand alone home,1-2,I view them as equally important,I view them as equally important,I view them as equally important,I view them as equally important,I view them as equally important,I view them as equally important,Increased foot traffic is much more important,I view them as equally important,Community gathering spaces are much more important,I view them as equally important,I view them as equally important,I view them as equally important,Strongly agree,Mildly disagree,Mildly agree,Mildly disagree,Strongly agree,Mildly disagree,Strongly agree,Mildly disagree,Strongly agree,Strongly disagree,Unsure,Strongly disagree,Mildly agree,Mildly disagree,Strongly agree,,A,,,
2024-10-26 12:39:50,2024-10-26 12:43:51,100,241,TRUE,2024-10-26 12:43:52,51.536,-0.0925,qr,EN,0.899999976,"I consent, begin the study",21,Male,23113,Several times per month,Single family stand alone home,3-4,I view them as equally important,Recreation space benefits are a little more important,Mental health benefits are a little more important,I view them as equally important,Increase in biodiversity is a little more important,Heat island reduction is a little more important,Increased foot traffic is much more important,Increased foot traffic is much more important,Community gathering spaces are much more important,Personal benefits are a little more important,Economic/social benefits are a little more important,Economic/social benefits are a little more important,Strongly disagree,Mildly agree,Mildly agree,Unsure,Mildly agree,Mildly agree,Mildly disagree,Mildly disagree,Mildly agree,Strongly disagree,Strongly disagree,Mildly disagree,Mildly agree,Unsure,Mildly agree,,A,,,
2024-10-26 12:39:19,2024-10-26 12:44:06,100,286,TRUE,2024-10-26 12:44:06,40.7503,-74.0014,qr,EN,1,"I consent, begin the study",31,Male,24109,Several times per week,Single family stand alone home,1-2,Recreation space benefits are much more important,Recreation space benefits are much more important,Activity health benefits are much more important,Heat island reduction is much more important,Increase in biodiversity is much more important,Increase in biodiversity is much more important,Increased foot traffic is much more important,Increased foot traffic is much more important,Community gathering spaces are much more important,Personal benefits are much more important,Ecological benefits are much more important,Economic/social benefits are much more important,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Unsure,Strongly agree,I love parks!,A,,,
2024-10-26 12:39:42,2024-10-26 12:44:55,100,312,TRUE,2024-10-26 12:44:55,37.4612,-77.395,qr,EN,1,"I consent, begin the study",21,Female,23113,Several times per month,Single family stand alone home,5,I view them as equally important,Recreation space benefits are a little more important,Mental health benefits are a little more important,Heat island reduction is a little more important,Air and water filtration are a little more important,Heat island reduction is a little more important,Increased foot traffic is much more important,Community gathering spaces are much more important,Community gathering spaces are much more important,Personal benefits are a little more important,Economic/social benefits are a little more important,Personal benefits are much more important,Strongly agree,Mildly agree,Mildly agree,Mildly agree,Strongly agree,Unsure,Strongly agree,Unsure,Mildly agree,Strongly disagree,Mildly agree,Strongly disagree,Mildly agree,Mildly disagree,Mildly agree,,A,,,
2024-10-26 12:39:21,2024-10-26 12:45:39,100,378,TRUE,2024-10-26 12:45:40,38.9034,-76.9882,qr,EN,1,"I consent, begin the study",29,Female,24019,Almost never,Single family stand alone home,1-2,I view them as equally important,I view them as equally important,I view them as equally important,Air and water filtration are much more important,I view them as equally important,Increase in biodiversity is a little more important,I view them as equally important,Increased foot traffic is much more important,Increased home prices are a little more important,I view them as equally important,I view them as equally important,I view them as equally important,Strongly agree,Mildly disagree,Mildly agree,Mildly disagree,Strongly agree,Mildly disagree,Strongly agree,Mildly disagree,Strongly agree,Mildly disagree,Strongly agree,Mildly disagree,Strongly agree,Strongly disagree,Strongly agree,,A,,,
2024-10-26 12:40:59,2024-10-26 12:49:19,100,499,TRUE,2024-10-26 12:49:20,38.9267,-76.9758,qr,EN,1,"I consent, begin the study",32,Male,10025,Several times per month,Apartment complex,1-2,Mental health benefits are much more important,Recreation space benefits are much more important,Activity health benefits are much more important,Air and water filtration are much more important,Increase in biodiversity is much more important,Heat island reduction is much more important,I view them as equally important,I view them as equally important,I view them as equally important,I view them as equally important,I view them as equally important,I view them as equally important,Strongly disagree,Mildly agree,Mildly disagree,Strongly disagree,Mildly disagree,Mildly agree,Mildly disagree,Mildly disagree,Mildly agree,Mildly agree,Strongly disagree,Mildly agree,Mildly disagree,Mildly agree,Mildly disagree,,A,,,
2024-10-26 12:43:03,2024-10-26 12:54:05,100,661,TRUE,2024-10-26 12:54:05,38.9057,-77.0319,qr,EN,1,"I consent, begin the study",31,Male,20001,Several times per month,Apartment complex,1-2,Recreation space benefits are a little more important,Recreation space benefits are a little more important,I view them as equally important,Heat island reduction is a little more important,Air and water filtration are a little more important,Heat island reduction is much more important,I view them as equally important,Community gathering spaces are much more important,Community gathering spaces are much more important,Personal benefits are a little more important,I view them as equally important,Personal benefits are a little more important,Strongly agree,Mildly disagree,Mildly agree,Mildly agree,Strongly agree,Mildly disagree,Strongly agree,Mildly disagree,Mildly agree,Strongly disagree,Unsure,Strongly disagree,Mildly agree,Mildly disagree,Strongly agree,,A,,,
2024-10-26 12:13:04,2024-10-26 14:05:54,100,6769,TRUE,2024-10-26 14:05:54,39.068,-76.9933,qr,EN,1,"I consent, begin the study",56,Female,21215,Several times per week,Other,1-2,Mental health benefits are much more important,Recreation space benefits are much more important,Activity health benefits are much more important,I view them as equally important,Increase in biodiversity is much more important,I view them as equally important,I view them as equally important,I view them as equally important,Community gathering spaces are much more important,I view them as equally important,I view them as equally important,I view them as equally important,Mildly agree,Strongly agree,Mildly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Unsure,Strongly agree,Unsure,Mildly agree,Strongly disagree,Strongly agree,Mildly agree,Strongly agree,I would love too see more pocket parks and I think if we all do what’s right that nature will control itself.,A,,,
2024-09-07 15:11:21,2024-09-07 15:18:35,100,434,TRUE,2024-09-07 15:18:36,38.9034,-76.9882,anonymous,EN,1,,25,Female,20009,Several times per month,Apartment complex,1-2,Recreation space benefits are a little more important,Recreation space benefits are a little more important,Mental health benefits are a little more important,I view them as equally important,Increase in biodiversity is a little more important,Increase in biodiversity is a little more important,Increased foot traffic is much more important,Community gathering spaces are much more important,Community gathering spaces are much more important,I view them as equally important,I view them as equally important,I view them as equally important,Strongly agree,Unsure,Strongly agree,Mildly agree,Strongly agree,Unsure,Unsure,Unsure,Mildly agree,Mildly disagree,Mildly agree,Mildly agree,Strongly agree,Mildly agree,Mildly agree,,B,,,
2024-09-07 15:15:03,2024-09-07 15:28:39,100,816,TRUE,2024-09-07 15:28:40,38.9091,-77.0203,anonymous,EN,0.899999976,"I consent, begin the study",24,Female,20850,Several times per week,Apartment complex,1-2,Mental health benefits are much more important,I view them as equally important,Mental health benefits are much more important,Heat island reduction is much more important,Air and water filtration are much more important,Heat island reduction is much more important,Increased foot traffic is much more important,Community gathering spaces are much more important,Community gathering spaces are much more important,Personal benefits are much more important,Economic/social benefits are much more important,Economic/social benefits are much more important,Strongly disagree,Mildly agree,Mildly agree,Mildly agree,Strongly agree,Strongly agree,Mildly disagree,Mildly disagree,Mildly agree,Strongly disagree,Strongly agree,Mildly agree,Mildly agree,Mildly disagree,Strongly agree,,B,,,
2024-09-07 15:15:04,2024-09-07 15:29:54,100,889,TRUE,2024-09-07 15:29:54,39.2909,-76.6096,anonymous,EN,1,"I consent, begin the study",24,Male,20850,Several times per week,Apartment complex,1-2,Mental health benefits are a little more important,Recreation space benefits are much more important,Mental health benefits are much more important,I view them as equally important,Increase in biodiversity is a little more important,Heat island reduction is a little more important,Increased foot traffic is much more important,Community gathering spaces are a little more important,Community gathering spaces are much more important,Ecological benefits are a little more important,Ecological benefits are a little more important,Economic/social benefits are a little more important,Strongly disagree,Mildly agree,Mildly disagree,Unsure,Mildly agree,Mildly agree,Strongly agree,Mildly disagree,Strongly agree,Strongly disagree,Mildly disagree,Strongly disagree,Mildly disagree,Unsure,Mildly agree,,B,,,
2024-09-07 15:36:41,2024-09-07 15:44:59,100,497,TRUE,2024-09-07 15:44:59,38.9057,-77.0319,anonymous,EN,1,"I consent, begin the study",52,Female,22310,Several times per month,Single family stand alone home,3-4,Mental health benefits are a little more important,I view them as equally important,Mental health benefits are a little more important,Air and water filtration are a little more important,I view them as equally important,Increase in biodiversity is a little more important,Increased foot traffic is much more important,I view them as equally important,Community gathering spaces are a little more important,I view them as equally important,I view them as equally important,I view them as equally important,Mildly agree,Mildly disagree,Mildly agree,Unsure,Mildly agree,Mildly agree,Mildly agree,Mildly disagree,Strongly agree,Mildly disagree,Mildly agree,Mildly disagree,Mildly agree,Unsure,Unsure,,B,,,
2024-09-07 15:39:30,2024-09-07 15:45:10,100,340,TRUE,2024-09-07 15:45:10,38.8892,-76.9417,anonymous,EN,1,"I consent, begin the study",70,Male,6117,Almost never,Single family stand alone home,1-2,I view them as equally important,I view them as equally important,I view them as equally important,Air and water filtration are much more important,Increase in biodiversity is much more important,I view them as equally important,I view them as equally important,I view them as equally important,I view them as equally important,,,,Strongly agree,Mildly agree,Strongly agree,Unsure,Strongly agree,Mildly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Mildly agree,Strongly agree,,B,,,
2024-09-07 16:01:30,2024-09-07 16:06:18,100,287,TRUE,2024-09-07 16:06:18,38.8892,-76.9417,anonymous,EN,1,"I consent, begin the study",30,Female,95133,Several times per year,Apartment complex,1-2,Mental health benefits are a little more important,Activity health benefits are much more important,Activity health benefits are much more important,I view them as equally important,I view them as equally important,I view them as equally important,Increased foot traffic is a little more important,I view them as equally important,I view them as equally important,Ecological benefits are a little more important,Ecological benefits are a little more important,Economic/social benefits are a little more important,Strongly agree,Mildly disagree,Mildly agree,Mildly agree,Strongly agree,Strongly agree,Mildly agree,Mildly agree,Strongly agree,Mildly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,,B,,,
2024-09-07 15:58:27,2024-09-07 19:52:01,100,14014,TRUE,2024-09-07 19:52:02,38.9034,-76.9882,anonymous,EN,0.699999988,"I consent, begin the study",37,Female,20002,Several times per month,Other,1-2,Mental health benefits are much more important,Recreation space benefits are much more important,Mental health benefits are much more important,I view them as equally important,I view them as equally important,I view them as equally important,Increased foot traffic is much more important,Community gathering spaces are much more important,Community gathering spaces are much more important,I view them as equally important,I view them as equally important,I view them as equally important,Mildly agree,Mildly agree,Unsure,Strongly disagree,Strongly agree,Unsure,Unsure,Strongly disagree,Mildly agree,Strongly disagree,Mildly agree,Strongly disagree,Strongly agree,Mildly disagree,Strongly agree,,B,,,
2024-09-09 12:05:52,2024-09-09 12:08:25,100,152,TRUE,2024-09-09 12:08:25,38.9091,-77.0203,anonymous,EN,1,"I consent, begin the study",45,Female,22203,Several times per month,Apartment complex,1-2,I view them as equally important,I view them as equally important,I view them as equally important,Air and water filtration are much more important,Increase in biodiversity is much more important,Heat island reduction is much more important,I view them as equally important,I view them as equally important,I view them as equally important,I view them as equally important,I view them as equally important,Personal benefits are a little more important,Unsure,Mildly agree,Mildly agree,Unsure,Mildly disagree,Strongly agree,Strongly agree,Mildly agree,Strongly agree,Mildly agree,Mildly agree,Unsure,Mildly disagree,Mildly agree,Mildly disagree,Park-goer paper survey from Sep 7th.,B,,,
2024-09-09 14:10:35,2024-09-09 14:15:15,100,279,TRUE,2024-09-09 14:15:15,39.068,-76.9933,anonymous,EN,1,"I consent, begin the study",37,Female,81506,Several times per year,Single family stand alone home,3-4,Mental health benefits are much more important,I view them as equally important,Mental health benefits are a little more important,Air and water filtration are much more important,I view them as equally important,Increase in biodiversity is a little more important,Increased home prices are a little more important,Increased foot traffic is a little more important,Increased home prices are a little more important,Personal benefits are a little more important,Economic/social benefits are a little more important,Personal benefits are a little more important,Strongly agree,Unsure,Mildly agree,Mildly agree,Mildly agree,Mildly disagree,Mildly agree,Strongly disagree,Mildly agree,Mildly disagree,Mildly agree,Mildly agree,Mildly disagree,Unsure,Mildly agree,,B,,,
2024-09-09 14:07:21,2024-09-09 14:21:04,100,823,TRUE,2024-09-09 14:21:05,38.7741,-77.2385,anonymous,EN,1,"I consent, begin the study",65,Female,16826,Several times per year,Single family stand alone home,1-2,Mental health benefits are a little more important,Activity health benefits are a little more important,I view them as equally important,I view them as equally important,I view them as equally important,I view them as equally important,Increased foot traffic is a little more important,Community gathering spaces are a little more important,Community gathering spaces are a little more important,Personal benefits are a little more important,I view them as equally important,Personal benefits are a little more important,Unsure,Mildly disagree,Mildly agree,Mildly agree,Mildly agree,Mildly agree,Mildly agree,Mildly disagree,Mildly agree,Mildly disagree,Mildly disagree,Mildly disagree,Mildly agree,Mildly agree,Mildly agree,,B,,,
2024-09-07 15:32:41,2024-09-07 15:38:00,56,319,FALSE,2024-09-14 15:38:03,,,anonymous,EN,1,"I consent, begin the study",50,Female,20853,Several times per month,Apartment complex,1-2,Mental health benefits are much more important,Recreation space benefits are much more important,Activity health benefits are much more important,,,,Increased home prices are much more important,Increased foot traffic is a little more important,I view them as equally important,,,Economic/social benefits are much more important,,,,,,,,,,,,,,,,,B,,,
2024-09-07 15:39:38,2024-09-07 15:44:11,56,273,FALSE,2024-09-14 15:44:18,,,anonymous,EN,1,"I consent, begin the study",68,Female,6117,Almost never,Single family stand alone home,1-2,I view them as equally important,I view them as equally important,I view them as equally important,I view them as equally important,I view them as equally important,I view them as equally important,I view them as equally important,I view them as equally important,I view them as equally important,Ecological benefits much more important,I view them as equally important,I view them as equally important,,,,,,,,,,,,,,,,,B,,,
2024-09-14 15:42:16,2024-09-14 15:49:47,100,450,TRUE,2024-09-14 15:49:48,39.9528,-75.1646,anonymous,EN,1,"I consent, begin the study",20,Female,20745,Several times per month,Multi-family home/duplex,1-2,Mental health benefits are a little more important,I view them as equally important,Mental health benefits are a little more important,I view them as equally important,Air and water filtration are a little more important,Heat island reduction is a little more important,Increased foot traffic is much more important,Community gathering spaces are a little more important,Community gathering spaces are much more important,Ecological benefits are a little more important,Ecological benefits are much more important,I view them as equally important,Strongly agree,Unsure,Mildly agree,Unsure,Strongly agree,Unsure,Strongly agree,Mildly disagree,Strongly agree,Strongly disagree,Mildly agree,Mildly disagree,Unsure,Strongly disagree,Strongly agree,,B,,,
2024-09-14 15:45:00,2024-09-14 16:00:20,100,919,TRUE,2024-09-14 16:00:20,39.068,-76.9933,anonymous,EN,1,"I consent, begin the study",39,Female,20001,Several times per week,Apartment complex,1-2,I view them as equally important,Activity health benefits are a little more important,I view them as equally important,Heat island reduction is a little more important,Air and water filtration are a little more important,Heat island reduction is a little more important,Increased foot traffic is a little more important,Increased foot traffic is a little more important,Increased home prices are a little more important,Personal benefits are a little more important,Economic/social benefits are a little more important,Personal benefits are a little more important,Mildly disagree,Mildly disagree,Mildly agree,Mildly disagree,Mildly agree,Mildly disagree,Strongly agree,Mildly disagree,Mildly agree,Unsure,Mildly agree,Strongly disagree,Unsure,Mildly disagree,Mildly agree,,B,,,
2024-09-14 15:59:44,2024-09-14 16:11:14,100,689,TRUE,2024-09-14 16:11:14,38.9208,-77.036,anonymous,EN,1,"I consent, begin the study",39,Male,20001,Several times per week,Apartment complex,1-2,I view them as equally important,Activity health benefits are much more important,Mental health benefits are much more important,Heat island reduction is a little more important,Increase in biodiversity is a little more important,I view them as equally important,Increased foot traffic is a little more important,I view them as equally important,Community gathering spaces are a little more important,Personal benefits are much more important,Economic/social benefits are a little more important,Personal benefits are much more important,Strongly agree,Mildly agree,Mildly agree,Mildly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Unsure,Strongly agree,No,B,,,
2024-09-14 15:27:26,2024-09-14 18:46:05,100,11919,TRUE,2024-09-14 18:46:06,38.9009,-77.0464,anonymous,EN,1,"I consent, begin the study",18,Female,22101,Almost never,Multi-family home/duplex,5,Mental health benefits are much more important,Activity health benefits are much more important,I view them as equally important,Air and water filtration are much more important,I view them as equally important,I view them as equally important,I view them as equally important,I view them as equally important,I view them as equally important,I view them as equally important,I view them as equally important,Economic/social benefits are a little more important,Unsure,Mildly disagree,Unsure,Unsure,Strongly agree,Mildly agree,Strongly agree,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,,B,,,
2024-09-17 20:57:37,2024-09-17 21:26:05,100,1707,TRUE,2024-09-17 21:26:06,38.8851,-77.1803,anonymous,EN,1,"I consent, begin the study",,Female,20001,Several times per year,Apartment complex,3-4,Recreation space benefits are a little more important,I view them as equally important,I view them as equally important,Air and water filtration are a little more important,Air and water filtration are a little more important,Heat island reduction is a little more important,Increased home prices are a little more important,Community gathering spaces are a little more important,Community gathering spaces are a little more important,Personal benefits are a little more important,I view them as equally important,I view them as equally important,Mildly disagree,Mildly agree,Mildly agree,Unsure,Strongly agree,Mildly agree,Strongly agree,Mildly disagree,Strongly agree,Strongly disagree,Mildly agree,Unsure,Mildly disagree,Strongly disagree,Mildly agree,This survey was the most complicated I believe I’ve ever taken.,B,,,
